;15
ITEM;16
Intituição;INMET - FUNCEME
codigo;
nome;Fortaleza
municipio;Fortaleza
codigo_municipio;2304400.0
macrorregiao;Litoral de Fortaleza
latitude;-3.8157
longitude;-38.5378
altitude;
variáveis_coletadas;
data_inicial;
data;
data_final;
ativo;
frequencia;
FORNECEDOR;Campbell
Radiação;CMP3
dir vel vento;Met One 034
temp umidade;HMP 155 Vaisala
pressão;PTB 101B Vaisala
pluv;TB4 Campbell
temp solo;
fluxo calor solo;
umidade solo;
Datalogger;CR23 X
Bateria;12V, 26Ah
Controlador de carga;Steca PR 0303 - EPV LS1024
supressor de transiente;Clamper series 900 e 800
Torre;Alumínio 10m
Painel solar;20 Watts
Comunicação;SAT SCD/ARGOS
Área;Pública - Uece
qualidade dos dados/sensores;
fabricante;
manutenção;
filtros;
n de patrimonio;
financiamento;
