;19
ITEM;20
Intituição;FUNCEME 
codigo;40.0
nome;Icó
municipio;Icó
codigo_municipio;
macrorregiao;Jaguaribana
latitude;-6.4272
longitude;-38.9228
altitude;
variáveis_coletadas;
data_inicial;
data;
data_final;
ativo;
frequencia;
FORNECEDOR;Campbell
Radiação;CMP3
dir vel vento;Met One 034
temp umidade;HMP 155 Vaisala
pressão;PTB 101B Vaisala
pluv;TB4 Campbell
temp solo;107L Campbell
fluxo calor solo;HFP01-10 Hukseflux
umidade solo;CS615 Campbell
Datalogger;CR23 X
Bateria;12V, 26Ah
Controlador de carga;Steca PR 0303 - EPV LS1024
supressor de transiente;Clamper series 900 e 800
Torre;Alumínio 10m
Painel solar;20 Watts
Comunicação;SAT SCD/ARGOS
Área;Pública - Dnocs
qualidade dos dados/sensores;
fabricante;
manutenção;
filtros;
n de patrimonio;
financiamento;
