;22
ITEM;23
Intituição;FUNCEME 
codigo;65.0
nome;Itatira
municipio;Santa Quitéria
codigo_municipio;2312205.0
macrorregiao;sertão Central e Inhamuns
latitude;-4.57638888889
longitude;-39.7991666667
altitude;
variáveis_coletadas;2.0, 6.0, 14.0, 19.0, 21.0, 22.0, 31.0
data_inicial;06/02/2005
data;
data_final;05/01/2020
ativo;
frequencia;3h (00h, 03h, 06h, 09h, 12h, 15h, 18h, 21h)
FORNECEDOR;Campbell
Radiação;CMP3
dir vel vento;Met One 034
temp umidade;HMP 155 Vaisala
pressão;PTB 101B Vaisala
pluv;TB4 Campbell
temp solo;
fluxo calor solo;
umidade solo;
Datalogger;CR23 X
Bateria;12V, 26Ah
Controlador de carga;Steca PR 0303 - EPV LS1024
supressor de transiente;Clamper series 900 e 800
Torre;Alumínio 10m
Painel solar;20 Watts
Comunicação;SAT SCD/ARGOS
Área;Pública - INB
qualidade dos dados/sensores;
fabricante;
manutenção;
filtros;
n de patrimonio;
financiamento;
