;50
ITEM;51
Intituição;FUNCEME
codigo;72.0
nome;Várzea Alegre
municipio;Várzea Alegre
codigo_municipio;
macrorregiao;Cariri
latitude;-6.7922
longitude;-39.3728
altitude;
variáveis_coletadas;
data_inicial;
data;
data_final;
ativo;
frequencia;3h (00h, 03h, 06h, 09h, 12h, 15h, 18h, 21h)
FORNECEDOR;Campbell
Radiação;SPLite Kipp&Zonen
dir vel vento;Met One 034
temp umidade;HMP 145 Vaisala
pressão;PTB 101B Vaisala
pluv;TB4 Campbell
temp solo;
fluxo calor solo;
umidade solo;
Datalogger;CR23 X
Bateria;12V, 26Ah
Controlador de carga;Steca PR 0303 - EPV LS1024
supressor de transiente;Clamper series 900 e 800
Torre;Alumínio 10m
Painel solar;20 Watts
Comunicação;SAT SCD/ARGOS
Área;Pública - Cogerh
qualidade dos dados/sensores;
fabricante;
manutenção;
filtros;
n de patrimonio;
financiamento;
