Item,Nome,Código,Município,Código do município,Instituição,Macrorregião,Latitude,Longitude,Altitude,Variáveis coletadas,data_inicial,data,data_final,ativo,frequencia,Tipo,Fornecedor,Modelo_do_sensor: radiação,Modelo_do_sensor: dir_vel_vento,modelo_do_sensor: temp_umidade,modelo_do_sensor: pressão,modelo_do_sensor: pluv,modelo_do_sensor: temp_solo,modelo_do_sensor: fluxo calor solo,modelo_do_sensor: umidade_solo,Datalogger,Bateria,Controlador de carga,modelo_do_sensor: supressor de transiente,Tipo da torre,Painel solar,Comunicação,Área,manutencao,n_patrimonio,financiamento,link 
1,Aiuaba ,4714,Aiuaba ,2300408,FUNCEME,Sertão Central e Inhamuns,-6.7139,-40.307378,588.9,"100, 17, 52, 19, 51, 22, 14, 17, 54, 21, 39, 2, 9, 3 4, 6, 18, 30, 31",12/08/2014,,20/08/2019,SI,1h,,Campbell,CMP3,Met One 034,HMP 155D Vaisala,PTB 101B Vaisala,TB4 Campbell,107L Campbell,HFP01-10 Hukseflux,CS615 Campbell,CR23 X,"12V, 26Ah",Steca PR 0303 - EPV LS1024,Clamper series 900 e 800,Alumínio 10m,20 Watts,SAT SCD/ARGOS,Particular,,,,
2,Acaraú,26,Acaraú,2300200,FUNCEME,Litoral Norte,-2.876500,-39.992611,12,"19, 22, 14, 21, 39, 2, 6, 18, 31",24/08/2004,,SI,,"3h (00h, 03h, 06h, 09h, 12h, 15h, 18h, 21h)",,Hobeco,CMP6,Windsonic Gill,HMP 110 Vaisala,BARO-1QML,TB4,,,,QML201,"12V, 26Ah",Morningstar sun saver 10,Clamper series 900 e 800,Ferro galvanizado 10m,20 Watts,V1001200 OMNISAT,Pública - Ibama,,,,
3,Açude Castanhão,2237,Alto Santo,,FUNCEME/ANA,Jaguaribana,-5.509264,-38.440500,112.2,,SI,,,sem transmissor,,,Campbell,CMP3,Met One 034,HMP 155 Vaisala,PTB 101B Vaisala,TB4 Campbell,,,,CR23 X,"12V, 26Ah",Steca PR 0303 - EPV LS1024,Clamper series 900 e 800,Alumínio 10m,20 Watts,SAT SCD/ARGOS,Pública - Dnocs,,,,
4,Amontada,27,Amontada,2300754,FUNCEME,Litoral Norte,-3.0333333333333,-39.666666666667,53.7,"19, 51, 22, 14, 21, 39, 2, 6, 50, 31",24/08/2004,,,sim,"3h (00h, 03h, 06h, 09h, 12h, 15h, 18h, 21h)",,Campbell,CMP3,Met One 034,HMP 155 Vaisala,PTB 101B Vaisala,TB4 Campbell,,,,CR23 X,"12V, 26Ah",Steca PR 0303 - EPV LS1024,Clamper series 900 e 800,Alumínio 10m,20 Watts,SAT SCD/ARGOS,Particular,,,,
5,Araripe,76,Araripe,2301307,FUNCEME,Sertão Central e Inhamuns,-7.207001,-40.139916,633.8,"19, 51, 22, 14, 21, 39, 2, 6, 18, 50, 31",SI,,,,"3h (00h, 03h, 06h, 09h, 12h, 15h, 18h, 21h)",,Campbell,SPLite Kipp&Zonen,Met One 034,HMP 145 Vaisala,PTB 101B Vaisala,TB4 Campbell,,,,CR23 X,"12V, 26Ah",Steca PR 0303 - EPV LS1024,Clamper series 900 e 800,Alumínio 10m,20 Watts,SAT SCD/ARGOS,,,,,
6,Assaré,45,Assaré,2301604,FUNCEME,Sertão Central e Inhamuns,-6.8541666666667,-39.865277777778,,"19, 51, 22, 14, 21, 39, 2, 6, 18, 50, 31",,,18/03/2021 15:00:00 UTC,,1h,,Campbell,CMP3,Met One 034,HMP 155 Vaisala,PTB 101B Vaisala,TB4 Campbell,107L Campbell,HFP01-10 Hukseflux,CS615 Campbell,CR23 X,"12V, 26Ah",Steca PR 0303 - EPV LS1024,Clamper series 900 e 800,Alumínio 10m,20 Watts,SAT SCD/ARGOS,Particular,,,,
7,Banabuiú,25,Banabuiú ,2301851,FUNCEME,Jaguaribana,-5.316666666666666,-38.916666666666664,451.8,"19, 51, 22, 14, 21, 39, 2, 6, 18, 50, 31",11/06/2004,,06/10/2018 15:00:00 UTC,,"3h (00h, 03h, 06h, 09h, 12h, 15h, 18h, 21h)",,Campbell,SPLite Kipp&Zonen,Met One 034,HMP 145 Vaisala,PTB 101B Vaisala,TB4 Campbell,,,,CR23 X,"12V, 26Ah",Steca PR 0303 - EPV LS1024,Clamper series 900 e 800,Alumínio 10m,20 Watts,SAT SCD/ARGOS,Pública - Dnocs,,,,
8,Barro,4716,Barro,2302008,FUNCEME,Cariri,-7.011695,-38.750666,371.9,"2, 3, 4, 6, 9, 14, 17, 22, 30, 31, 51, 52, 54, 100",19/05/2017,,,sim,1h,,Hobeco,CMP6,Windsonic Gill,HMP 110 Vaisala,BARO-1QML,TB4,,,,QML201,"12V, 26Ah",Morningstar sun saver 10,Clamper series 900 e 800,Ferro galvanizado 10m,20 Watts,V1001200 OMNISAT,Particular,,,,
9,Batutrité,4710,Baturité,2302107,FUNCEME,Maciço do Baturité,-4.340695 ,-38.865167,80.5,"2, 3, 4, 6, 9, 14, 17, 22, 30, 31, 51, 52, 54, 100",SI,,30/10/2019 16:43:51 UTC,,1h,,Hobeco,CMP6,Windsonic Gill,HMP 110 Vaisala,BARO-1QML,TB4,,,,QML201,"12V, 26Ah",Morningstar sun saver 10,Clamper series 900 e 800,Ferro galvanizado 10m,20 Watts,V1001200 OMNISAT,Prefeitura,,,,
10,Boa Viagem,80,Boa Viagem,2302404,FUNCEME,Sertão Central e Inhamuns,-5.1416666666667,-39.735833333333,292.8,"2, 6, 14, 18, 19, 21, 22, 31, 39, 50, 51",06/02/2005,"1969, 1970",27/05/2021 12:00:00 UTC,,"3h (00h, 03h, 06h, 09h, 12h, 15h, 18h, 21h)",,Campbell,SPLite Kipp&Zonen,Met One 034,HMP 145 Vaisala,PTB 101B Vaisala,TB4 Campbell,107L Campbell,HFP01-10 Hukseflux,CS615 Campbell,CR23 X,"12V, 26Ah",Steca PR 0303 - EPV LS1024,Clamper series 900 e 800,Alumínio 10m,20 Watts,SAT SCD/ARGOS,Particular,,,,
11,Camocim,46,Camocim,2302602,FUNCEME,Litoral Norte,-3.0019444444444,-41.021388888889 ,16.3,"2, 6, 19, 14, 18, 21, 22, 39, 50, 31, 51",28/04/2005,,,sim,"3h (00h, 03h, 06h, 09h, 12h, 15h, 18h, 21h)",,Campbell,CMP3,Met One 034,HMP 155 Vaisala,PTB 101B Vaisala,TB4 Campbell,107L Campbell,HFP01-10 Hukseflux,CS615 Campbell,CR23 X,"12V, 26Ah",Steca PR 0303 - EPV LS1024,Clamper series 900 e 800,Alumínio 10m,20 Watts,SAT SCD/ARGOS,Particular - Ducoco,,,,
