"Item","Nome","Código","Município","Código dos municípios","Instituição","Macrorregião","Latitude","Longitude","Altitude","Variáveis coletadas","data_inicial","data","data_final","ativo","frequencia","Tipo","Fornecedor","Modelo_do_sensor: radiação","Modelo_do_sensor: dir_vel_vento","modelo_do_sensor: temp_umidade","modelo_do_sensor: pressão","modelo_do_sensor: pluv","modelo_do_sensor: temp_solo","modelo_do_sensor: fluxo calor solo","modelo_do_sensor: umidade_solo","Datalogger","Bateria","Controlador de carga","modelo_do_sensor: supressor de transiente","Tipo da torre","Painel solar","Comunicação","Área","manutencao","n_patrimonio","financiamento"
,"Tabuleiro do Norte",59,"Alto Santo",2300705,"FUNCEME","Jaguaribana","-5.49027778","-38.02444444","SI","31, 50, 39, 51, 22, 21, 19, 18, 14, 6, 2","2006 - 02",,"2014 - ","não","3 h  (00h, 03h, 06h, 09h, 12h, 15h, 18h, 21h)","Agro","Campbell","SPLite Kipp&Zonen","Met One 034","HMP 45 Vaisala","PTB 101B Vaisala","TB4 Campbell","107L Campbell","HFP01-10 Hukseflux","CS615 Campbell","CR23 X","12V, 26Ah","Steca PR 0303 - EPV LS1024",,"Alumínio 10m","20 Watts","SAT SCD/ARGOS","Particular",,3833,
,"ACOPIARA",43,"Acopiara",2300309,"FUNCEME","Sertao Central e Inhamuns","-6.09805556","-39.21","SI","50, 51, 39, 31, 22, 18, 21, 19","2015 - ","data com 1969","2019 - ","não","3 h  (00h, 03h, 06h, 09h, 12h, 15h, 18h, 21h)","Meteorológica","Campbell","SPLite Kipp&Zonen","Met One 034","HMP 45 Vaisala","PTB 101B Vaisala","TB4 Campbell",,,,"CR23 X","12V, 26Ah","Steca PR 0303 - EPV LS1024",,"Alumínio 10m","20 Watts","SAT SCD/ARGOS","Particular",,3856,
,"ARACOIABA",42,"Aracoiaba",2301208,"FUNCEME","Macico do Baturite","-4.43583333","-38.75583333","SI","6, 2, 19, 14, 21, 18, 51, 22, 39, 50, 31","2005 - 02",,"2019 - ","não","3 h  (00h, 03h, 06h, 09h, 12h, 15h, 18h, 21h)","Meteorológica","Campbell","SPLite Kipp&Zonen","Met One 034","HMP 45 Vaisala","PTB 101B Vaisala","TB4 Campbell",,,,"CR23 X","12V, 26Ah","Steca PR 0303 - EPV LS1024",,"Alumínio 10m","20 Watts","SAT SCD/ARGOS","Particular",,3837,
,"ARATUBA",44,"Aratuba",2301406,"FUNCEME","Macico do Baturite","-4.38916667","-39.04083333","SI","51, 50, 39, 31, 22, 21, 18, 19, 14, 6, 2","2016 - 08 ",,"2016 - ","não","3 h  (00h, 03h, 06h, 09h, 12h, 15h, 18h, 21h)","Agro","Campbell","SPLite Kipp&Zonen","Met One 034","HMP 45 Vaisala","PTB 101B Vaisala","TB4 Campbell","107L Campbell","HFP01-10 Hukseflux","CS615 Campbell","CR23 X","12V, 26Ah","Steca PR 0303 - EPV LS1024",,"Alumínio 10m","20 Watts","SAT SCD/ARGOS","Particular",,3844,
,"ARUARU",20,"Morada Nova",2308708,"FUNCEME","Jaguaribana","-4.52222222","-38.36861111","SI","31, 39, 21, 22, 18, 14, 19, 6, 2","2006 - 07",,"2014 -","sim","3 h  (00h, 03h, 06h, 09h, 12h, 15h, 18h, 21h)",,,,,,,,,,,,,,,,,,,,,
,"BARROQUINHA",28,"Barroquinha",2302057,"FUNCEME","Litoral Norte","-2.93","-41.11861111","SI","18, 31, 39, 22, 21, 14, 19, 6, 2","2015 - 05",,"2015 - ","não","3 h  (00h, 03h, 06h, 09h, 12h, 15h, 18h, 21h)","Agro","Campbell","SPLite Kipp&Zonen","Met One 034","HMP 45 Vaisala","PTB 101B Vaisala","TB4 Campbell","107L Campbell","HFP01-10 Hukseflux","CS615 Campbell","CR23 X","12V, 26Ah","Steca PR 0303 - EPV LS1024",,"Alumínio 10m","20 Watts","SAT SCD/ARGOS","Particular",,3845,
,"BEBERIBE",19,"Beberibe",2302206,"FUNCEME","Litoral de Fortaleza","-4.24138889","-38.20138889","SI","31, 50, 39, 51, 22, 18, 21, 14, 19, 6, 2","2006 - 07",,"2014 -","não","3 h  (00h, 03h, 06h, 09h, 12h, 15h, 18h, 21h)",,,,,,,,,,,,,,,,,,,,3821,
,"CAUCAIA",,"CAUCAIA",,"FUNCEME","Litoral de Fortaleza","-3.73781","-38.68450","SI",,,,,"não",,"Agro","Campbell","SPLite Kipp&Zonen","Met One 034","HMP 45 Vaisala","PTB 101B Vaisala","TB4 Campbell","107L Campbell","HFP01-10 Hukseflux","CS615 Campbell","CR23 X","12V, 26Ah","Steca PR 0303 - EPV LS1024",,"Alumínio 10m","20 Watts","SAT SCD/ARGOS","Particular",,3823,
,"CARIRE",29,"Cariri",2303105,"FUNCEME","Ibiapaba","-3.83944444","-40.6625","SI","6, 31, 22, 21, 14, 19, 2","2005 - 04",,"2013 - ","não","3 h  (00h, 03h, 06h, 09h, 12h, 15h, 18h, 21h)",,,,,,,,,,,,,,,,,,,,3822,
,"CEDRO",47,"Cedro",2303808,"FUNCEME","Cariri","-6.58305556","-39.24027778","SI","31, 50, 39, 22, 51, 18, 21, 19, 14, 6, 2","2009 - 08",,"2014 -","não","3 h  (00h, 03h, 06h, 09h, 12h, 15h, 18h, 21h)","Meteorológica","Campbell","SPLite Kipp&Zonen","Met One 034","HMP 45 Vaisala","PTB 101B Vaisala","TB4 Campbell",,,,"CR23 X","12V, 26Ah","Steca PR 0303 - EPV LS1024",,"Alumínio 10m","20 Watts","SAT SCD/ARGOS","Particular",,3838,
