"est_codigo","est_codigo_origem","est_ins_codigo","est_municipio","est_nome","est_altitude","est_dt_inst","est_dt_ult_atual","est_dt_inicio_ativ","est_dt_fim_ativ","est_rua","est_cep","est_fone","est_localizacao","est_comentario","est_tipo_estacao","est_modelo","est_geom_sad69","est_geom"
3,31828,1,2304004,"Coreaú - Araquem",106,"2003-08-19",,"2005-02-06","2020-06-05",,,,"Açude Angicos",,3,1,"01010000A0C3100000DD7935F1AC6844C08A0F325476180DC00000000000000000","01010000A0E6100000DD7935F1AC6844C08A0F325476180DC00000000000000000"
6,"B8524E9A",1,2306801,"Alto Santo - Castanhão",103,"2022-03-01",,"2022-04-06",,,,,"CANTEIRO DE OBRAS DO ACUDE CASTANHAO - DNOCS","Antigo código de origem:",1,1,"01010000A0C310000000000000004043C087ECDDDDDDDD15C00000000000000000","01010000A0E610000000000000004043C087ECDDDDDDDD15C00000000000000000"
12,32321,1,2304400,"Fortaleza - Itaperi",28,"2009-05-07",,"2004-11-16",,"Rua Santo André, Fortaleza, CE",60711,,"Bloco da Pós MACFA - Campus do Itaperi UECE",,3,1,"01010000A0C310000020EBA9D5574743C02E55698B6B5C0EC00000000000000000","01010000A0E610000020EBA9D5574743C02E55698B6B5C0EC00000000000000000"
13,"B8517C0E",1,2309607,"Pacajus",88,"2022-03-01",,"2022-05-02",,,,,"Embrapa de Pacajus","Antigo código de origem: 32324;  uma das 23 ET0",1,1,"01010000A0C31000000196FC62C93F43C0C3F5285C8FC210C00000000000000000","01010000A0E61000000196FC62C93F43C0C3F5285C8FC210C00000000000000000"
14,32327,1,2312908,"Sobral",75,"2004-07-29",,"2005-02-06","2013-07-01",,,,"Colégio Agrícola de Sobral",,3,1,"01010000A0C310000006D6C4B3A23144C0624286CA0ED30DC00000000000000000","01010000A0E610000006D6C4B3A23144C0624286CA0ED30DC00000000000000000"
16,32326,1,2307700,"Maranguape - Penedo",133,"2005-04-26",,"2005-04-26","2020-03-26",,,,,,3,1,"01010000A0C3100000A6452301DF6443C0E17A14AE47E10FC00000000000000000","01010000A0E6100000A6452301DF6443C0E17A14AE47E10FC00000000000000000"
17,32322,1,2303709,"Caucaia - Sede",32,"2005-02-06",,"2005-02-06","2015-09-05",,,,"CETREX - EMATERCE",,3,1,"01010000A0C31000006E6824E09B5743C06E2B1A09F8E60DC00000000000000000","01010000A0E61000006E6824E09B5743C06E2B1A09F8E60DC00000000000000000"
18,32325,1,2312403,"São Gonçalo do Amarante - Sede",30,"2003-07-16",,"2006-07-01","2019-10-14",,,,"Fazenda Sororoca",,3,1,"01010000A0C31000000401DFBC9A7843C03333333333330DC00000000000000000","01010000A0E61000000401DFBC9A7843C03333333333330DC00000000000000000"
19,32323,1,2302206,"Beberibe",30,"2003-07-17",,"2005-02-06","2019-05-14",,,,"Fazenda SOEVER",,3,1,"01010000A0C31000002CC7711CC71943C019951DA62EF710C00000000000000000","01010000A0E61000002CC7711CC71943C019951DA62EF710C00000000000000000"
20,32328,1,2308708,"Morada Nova - Aruaru",70,"2004-08-08",,"2004-11-17","2015-07-29",,,,"Fazenda Lagoinha",,3,1,"01010000A0C3100000FD941DA62E2F43C053C1166CC11612C00000000000000000","01010000A0E6100000FD941DA62E2F43C053C1166CC11612C00000000000000000"
