Ano;Month;Prec_ETP_CRU;;;;;
1990;1;-151,895;;;;;
1990;2;-50,768;;;;;
1990;3;-114,520;;;;;
1990;4;-34,494;;;;;
1990;5;-44,267;;;;;
1990;6;-63,280;;;;;
1990;7;-68,559;;;;;
1990;8;-90,344;;;;;
1990;9;-143,617;;;;;
1990;10;-159,518;;;;;
1990;11;-160,310;;;;;
1990;12;-160,018;;;;;
1991;1;-122,803;;;;;
1991;2;-64,064;;;;;
1991;3;32,515;;;;;
1991;4;-26,710;;;;;
1991;5;-0,948;;;;;
1991;6;-42,915;;;;;
1991;7;-102,056;;;;;
1991;8;-128,385;;;;;
1991;9;-146,630;;;;;
1991;10;-153,232;;;;;
1991;11;-155,026;;;;;
1991;12;-160,868;;;;;
1992;1;-39,956;;;;;
1992;2;13,667;;;;;
1992;3;1,709;;;;;
1992;4;-27,369;;;;;
1992;5;-97,657;;;;;
1992;6;-33,448;;;;;
1992;7;-98,229;;;;;
1992;8;-116,362;;;;;
1992;9;-145,801;;;;;
1992;10;-164,984;;;;;
1992;11;-148,733;;;;;
1992;12;-160,579;;;;;
1993;1;-140,795;;;;;
1993;2;-124,047;;;;;
1993;3;-122,817;;;;;
1993;4;-91,054;;;;;
1993;5;-65,035;;;;;
1993;6;-95,644;;;;;
1993;7;-78,386;;;;;
1993;8;-134,444;;;;;
1993;9;-148,790;;;;;
1993;10;-140,240;;;;;
1993;11;-156,856;;;;;
1993;12;-162,158;;;;;
1994;1;-62,767;;;;;
1994;2;18,647;;;;;
1994;3;64,832;;;;;
1994;4;-25,170;;;;;
1994;5;-47,888;;;;;
1994;6;44,768;;;;;
1994;7;-87,530;;;;;
1994;8;-107,522;;;;;
1994;9;-138,671;;;;;
1994;10;-161,722;;;;;
1994;11;-155,866;;;;;
1994;12;-145,942;;;;;
1995;1;-128,691;;;;;
1995;2;-91,340;;;;;
1995;3;16,535;;;;;
1995;4;84,440;;;;;
1995;5;48,706;;;;;
1995;6;-47,169;;;;;
1995;7;-43,190;;;;;
1995;8;-138,039;;;;;
1995;9;-148,932;;;;;
1995;10;-166,794;;;;;
1995;11;-135,592;;;;;
1995;12;-157,543;;;;;
1996;1;-93,818;;;;;
1996;2;-46,046;;;;;
1996;3;24,322;;;;;
1996;4;85,488;;;;;
1996;5;-41,958;;;;;
1996;6;-77,242;;;;;
1996;7;-87,693;;;;;
1996;8;-118,966;;;;;
1996;9;-140,289;;;;;
1996;10;-157,982;;;;;
1996;11;-144,117;;;;;
1996;12;-157,827;;;;;
1997;1;-132,894;;;;;
1997;2;-80,532;;;;;
1997;3;41,777;;;;;
1997;4;39,461;;;;;
1997;5;-1,574;;;;;
1997;6;-90,083;;;;;
1997;7;-86,023;;;;;
1997;8;-119,463;;;;;
1997;9;-152,529;;;;;
1997;10;-165,649;;;;;
1997;11;-159,348;;;;;
1997;12;-141,047;;;;;
1998;1;-82,243;;;;;
1998;2;-109,093;;;;;
1998;3;-81,417;;;;;
1998;4;-47,301;;;;;
1998;5;-56,712;;;;;
1998;6;-74,925;;;;;
1998;7;-23,195;;;;;
1998;8;-107,472;;;;;
1998;9;-152,507;;;;;
1998;10;-165,948;;;;;
1998;11;-148,859;;;;;
1998;12;-132,861;;;;;
1999;1;-127,963;;;;;
1999;2;-76,484;;;;;
1999;3;27,889;;;;;
1999;4;-63,531;;;;;
1999;5;20,662;;;;;
1999;6;-88,431;;;;;
1999;7;-92,829;;;;;
1999;8;-131,713;;;;;
1999;9;-146,874;;;;;
1999;10;-151,158;;;;;
1999;11;-158,085;;;;;
1999;12;-130,712;;;;;
2000;1;-73,907;;;;;
2000;2;-55,065;;;;;
2000;3;-22,433;;;;;
2000;4;30,980;;;;;
2000;5;-31,800;;;;;
2000;6;10,340;;;;;
2000;7;-21,902;;;;;
2000;8;-78,665;;;;;
2000;9;-120,854;;;;;
2000;10;-162,121;;;;;
2000;11;-160,038;;;;;
2000;12;-118,365;;;;;
2001;1;-119,308;;;;;
2001;2;-79,956;;;;;
2001;3;2,736;;;;;
2001;4;15,050;;;;;
2001;5;-71,757;;;;;
2001;6;25,053;;;;;
2001;7;-65,361;;;;;
2001;8;-124,445;;;;;
2001;9;-104,073;;;;;
2001;10;-160,786;;;;;
2001;11;-160,737;;;;;
2001;12;-140,803;;;;;
2002;1;-30,402;;;;;
2002;2;-77,407;;;;;
2002;3;37,838;;;;;
2002;4;32,347;;;;;
2002;5;65,927;;;;;
2002;6;44,973;;;;;
2002;7;-89,001;;;;;
2002;8;-132,121;;;;;
2002;9;-118,960;;;;;
2002;10;-162,578;;;;;
2002;11;-157,124;;;;;
2002;12;-142,247;;;;;
2003;1;-65,616;;;;;
2003;2;-52,162;;;;;
2003;3;51,916;;;;;
2003;4;2,575;;;;;
2003;5;-24,613;;;;;
2003;6;-48,055;;;;;
2003;7;-86,484;;;;;
2003;8;-124,211;;;;;
2003;9;-141,326;;;;;
2003;10;-162,648;;;;;
2003;11;-161,810;;;;;
2003;12;-139,945;;;;;
2004;1;3,283;;;;;
2004;2;-9,486;;;;;
2004;3;-47,887;;;;;
2004;4;-58,276;;;;;
2004;5;-74,612;;;;;
2004;6;53,469;;;;;
2004;7;-50,389;;;;;
2004;8;-119,264;;;;;
2004;9;-131,956;;;;;
2004;10;-165,517;;;;;
2004;11;-162,663;;;;;
2004;12;-121,144;;;;;
2005;1;-107,033;;;;;
2005;2;-78,651;;;;;
2005;3;-58,483;;;;;
2005;4;-19,691;;;;;
2005;5;34,087;;;;;
2005;6;32,283;;;;;
2005;7;-97,793;;;;;
2005;8;-114,493;;;;;
2005;9;-149,466;;;;;
2005;10;-162,663;;;;;
2005;11;-162,105;;;;;
2005;12;-123,222;;;;;
2006;1;-135,399;;;;;
2006;2;-43,367;;;;;
2006;3;82,769;;;;;
2006;4;97,086;;;;;
2006;5;114,632;;;;;
2006;6;44,277;;;;;
2006;7;-85,802;;;;;
2006;8;-131,111;;;;;
2006;9;-148,601;;;;;
2006;10;-153,571;;;;;
2006;11;-153,290;;;;;
2006;12;-112,381;;;;;
2007;1;-148,265;;;;;
2007;2;45,545;;;;;
2007;3;-60,412;;;;;
2007;4;-3,700;;;;;
2007;5;-2,693;;;;;
2007;6;-50,452;;;;;
2007;7;-77,864;;;;;
2007;8;-128,508;;;;;
2007;9;-147,456;;;;;
2007;10;-165,458;;;;;
2007;11;-161,691;;;;;
2007;12;-132,364;;;;;
2008;1;-110,960;;;;;
2008;2;-72,558;;;;;
2008;3;181,842;;;;;
2008;4;15,676;;;;;
2008;5;145,557;;;;;
2008;6;-52,026;;;;;
2008;7;-39,985;;;;;
2008;8;-120,353;;;;;
2008;9;-105,053;;;;;
2008;10;-165,682;;;;;
2008;11;-159,574;;;;;
2008;12;-99,181;;;;;
2009;1;-100,020;;;;;
2009;2;-27,329;;;;;
2009;3;87,611;;;;;
2009;4;121,572;;;;;
2009;5;20,691;;;;;
2009;6;-27,259;;;;;
2009;7;-30,183;;;;;
2009;8;-97,936;;;;;
2009;9;-149,300;;;;;
2009;10;-158,228;;;;;
2009;11;-157,266;;;;;
2009;12;-150,837;;;;;
2010;1;-83,406;;;;;
2010;2;-111,874;;;;;
2010;3;-43,182;;;;;
2010;4;-25,372;;;;;
2010;5;-74,045;;;;;
2010;6;19,182;;;;;
2010;7;-97,025;;;;;
2010;8;-132,352;;;;;
2010;9;-149,253;;;;;
2010;10;-156,253;;;;;
2010;11;-161,786;;;;;
2010;12;-99,040;;;;;
2011;1;9,311;;;;;
2011;2;-5,212;;;;;
2011;3;-18,683;;;;;
2011;4;25,439;;;;;
2011;5;56,449;;;;;
2011;6;-65,523;;;;;
2011;7;-65,614;;;;;
2011;8;-99,123;;;;;
2011;9;-148,684;;;;;
2011;10;-144,094;;;;;
2011;11;-140,703;;;;;
2011;12;-157,713;;;;;
2012;1;-140,561;;;;;
2012;2;-45,737;;;;;
2012;3;-77,068;;;;;
2012;4;-74,192;;;;;
2012;5;-83,462;;;;;
2012;6;-60,443;;;;;
2012;7;-101,018;;;;;
2012;8;-132,611;;;;;
2012;9;-149,278;;;;;
2012;10;-164,341;;;;;
2012;11;-163,043;;;;;
2012;12;-155,030;;;;;
2013;1;-107,860;;;;;
2013;2;-115,533;;;;;
2013;3;-99,630;;;;;
2013;4;-18,960;;;;;
2013;5;-72,199;;;;;
2013;6;-32,503;;;;;
2013;7;-89,798;;;;;
2013;8;-131,592;;;;;
2013;9;-148,428;;;;;
2013;10;-164,261;;;;;
2013;11;-140,274;;;;;
2013;12;-99,063;;;;;
2014;1;-142,912;;;;;
2014;2;-96,209;;;;;
2014;3;149,855;;;;;
2014;4;22,170;;;;;
2014;5;46,674;;;;;
2014;6;-70,765;;;;;
2014;7;-49,786;;;;;
2014;8;-125,713;;;;;
2014;9;-131,667;;;;;
2014;10;-150,906;;;;;
2014;11;-130,039;;;;;
2014;12;-104,625;;;;;
2015;1;-137,378;;;;;
2015;2;-46,013;;;;;
2015;3;4,829;;;;;
2015;4;-2,835;;;;;
2015;5;-83,799;;;;;
2015;6;-73,675;;;;;
2015;7;-50,993;;;;;
2015;8;-121,926;;;;;
2015;9;-148,578;;;;;
